date,clics,impressions,ctr,position
2026-07-28,1,66,1.52,10.7
2026-07-29,0,69,0.00,19.9
2026-07-30,0,77,0.00,17.3
2026-07-31,0,91,0.00,17.6
2026-08-01,2,55,3.64,14.0
2026-08-02,2,49,4.08,15.3
2026-08-03,1,56,1.79,11.0
2026-08-04,1,82,1.22,14.4
2026-08-05,5,110,4.55,19.5
2026-08-06,1,156,0.64,15.9
2026-08-07,1,112,0.89,12.2
2026-08-08,2,93,2.15,8.6
2026-08-09,0,73,0.00,11.9
2026-08-10,3,112,2.68,9.5
2026-08-11,5,197,2.54,8.7
2026-08-12,0,132,0.00,9.6
2026-08-13,3,202,1.49,8.7
2026-08-14,3,150,2.00,11.8
2026-08-15,0,98,0.00,9.4
2026-08-16,1,97,1.03,8.5
2026-08-17,5,133,3.76,12.2
2026-08-18,3,135,2.22,12.0
2026-08-19,1,141,0.71,16.1
2026-08-20,2,123,1.63,12.6
2026-08-21,2,157,1.27,16.6
2026-08-22,1,99,1.01,8.5
2026-08-23,1,97,1.03,11.3
2026-08-24,2,131,1.53,13.2
2026-08-25,3,114,2.63,8.9
